epoch,loss,accuracy,val_loss,val_accuracy
1,0.31821680068969727,0.8707389831542969,0.21043488383293152,0.9133806228637695
2,0.17801274359226227,0.9319654107093811,0.1368934065103531,0.9487943053245544
3,0.12676194310188293,0.9539265036582947,0.109581857919693,0.9576359391212463
4,0.09800942242145538,0.9635714888572693,0.1063838005065918,0.9592908024787903
5,0.07760059833526611,0.9708760976791382,0.08251604437828064,0.9711583852767944
6,0.06373093277215958,0.9760531187057495,0.0728984996676445,0.9739007353782654
7,0.05243019014596939,0.979339063167572,0.061614856123924255,0.9774940609931946
8,0.04551127180457115,0.9820812344551086,0.055578459054231644,0.9800472855567932
9,0.039264384657144547,0.9848234057426453,0.07091269642114639,0.9777777791023254
10,0.03577132150530815,0.9861944913864136,0.058556534349918365,0.9791961908340454
11,0.03286139667034149,0.987494707107544,0.06399361044168472,0.9796690344810486
12,0.031037556007504463,0.9878965616226196,0.062265098094940186,0.9797163009643555
13,0.028559815138578415,0.9893858432769775,0.06379987299442291,0.9802836775779724
14,0.02782958373427391,0.9900004863739014,0.05142812430858612,0.9836879372596741
15,0.026210026815533638,0.9898586273193359,0.06684398651123047,0.9797163009643555
16,0.02569870464503765,0.9906623959541321,0.05435200035572052,0.9825059175491333
17,0.02553301677107811,0.9903078079223633,0.04689342901110649,0.9847281575202942
18,0.02378312312066555,0.9912769794464111,0.056193962693214417,0.9829314351081848
19,0.023151446133852005,0.9912061095237732,0.048966892063617706,0.982836902141571
20,0.021558787673711777,0.9926481246948242,0.049124956130981445,0.9836406707763672
21,0.02210231125354767,0.9920098185539246,0.07209204882383347,0.981749415397644
22,0.021000897511839867,0.9921044111251831,0.05606524273753166,0.9848699569702148
23,0.02165914699435234,0.9922226071357727,0.0522945411503315,0.9835934042930603
24,0.021971488371491432,0.9918443560600281,0.061178237199783325,0.9821276664733887
25,0.02179167978465557,0.9922226071357727,0.0672900527715683,0.9813238978385925
