epoch,loss,accuracy,val_loss,val_accuracy
1,0.4248615503311157,0.8241974711418152,0.35310429334640503,0.8653258681297302
2,0.31932681798934937,0.8735119700431824,0.3113158643245697,0.8846602439880371
3,0.2764122784137726,0.8907254934310913,0.27562659978866577,0.8952164053916931
4,0.24761903285980225,0.9043813943862915,0.2471073716878891,0.9066615104675293
5,0.23076459765434265,0.9118524193763733,0.23485851287841797,0.9041057825088501
6,0.23633556067943573,0.9069264531135559,0.2129875123500824,0.9131618142127991
7,0.2004314810037613,0.9224432706832886,0.20671601593494415,0.9194955229759216
8,0.19065991044044495,0.9255083203315735,0.1813359409570694,0.9306628108024597
9,0.16891567409038544,0.9354971051216125,0.17312562465667725,0.9288849234580994
10,0.16861775517463684,0.9346761107444763,0.18943896889686584,0.9289960265159607
11,0.18435342609882355,0.9276703000068665,0.1810169368982315,0.932162880897522
12,0.14832723140716553,0.9425850510597229,0.16534832119941711,0.9411634206771851
13,0.13272012770175934,0.9479488730430603,0.15608815848827362,0.9366631507873535
14,0.12517677247524261,0.9505760669708252,0.13231174647808075,0.9506083726882935
15,0.11994197964668274,0.9530664086341858,0.1506764143705368,0.9451636075973511
16,0.12143373489379883,0.9526011943817139,0.12059330195188522,0.9560531377792358
17,0.11239500343799591,0.956268310546875,0.12329086661338806,0.9545530080795288
18,0.10563962161540985,0.958868145942688,0.11527540534734726,0.9533863067626953
19,0.10126760601997375,0.9602637887001038,0.13180652260780334,0.9526640176773071
20,0.09076078981161118,0.964341402053833,0.1122867539525032,0.9595533013343811
21,0.09780117869377136,0.9622341990470886,0.11292542517185211,0.9577198624610901
22,0.09854342043399811,0.9617416262626648,0.10168380290269852,0.9613311886787415
23,0.08859378099441528,0.9663391709327698,0.10487903654575348,0.961108922958374
24,0.08200927823781967,0.9682548642158508,0.1343155950307846,0.9541085362434387
25,0.07992633432149887,0.9697052836418152,0.13408693671226501,0.9519973397254944
