epoch,loss,accuracy,val_loss,val_accuracy
1,0.2973460555076599,0.8774228692054749,0.2029164880514145,0.9231136441230774
2,0.1619255691766739,0.9387702345848083,0.14585921168327332,0.9492359161376953
3,0.12123587727546692,0.9543893337249756,0.12523752450942993,0.9548710584640503
4,0.09400109946727753,0.965303897857666,0.09377840161323547,0.9654727578163147
5,0.0744231641292572,0.972525417804718,0.08367275446653366,0.9682425856590271
6,0.06077631562948227,0.9766418933868408,0.08427617698907852,0.9664756655693054
7,0.05309152975678444,0.9795351624488831,0.06883196532726288,0.9750716090202332
8,0.04738226532936096,0.9819344878196716,0.06513157486915588,0.9768863320350647
9,0.04393560066819191,0.9831812381744385,0.0612712986767292,0.977268397808075
10,0.04158744588494301,0.9844043850898743,0.0720851793885231,0.9747850894927979
11,0.03589273989200592,0.9865449666976929,0.05329344421625137,0.9814708828926086
12,0.028335485607385635,0.9889678359031677,0.05555639788508415,0.9810410737991333
13,0.027347680181264877,0.9894853234291077,0.06400744616985321,0.9775549173355103
14,0.03663136065006256,0.9862862229347229,0.0709385946393013,0.9746418595314026
15,0.0329684354364872,0.987274169921875,0.0705266073346138,0.9755014181137085
16,0.021423492580652237,0.9914377331733704,0.07490239292383194,0.973686695098877
17,0.034163329750299454,0.9866155385971069,0.05297457426786423,0.9825214743614197
18,0.01653076522052288,0.9937899708747864,0.04823223501443863,0.9848137497901917
19,0.02401389740407467,0.9914612174034119,0.056861523538827896,0.9812321066856384
20,0.019859662279486656,0.9927314519882202,0.05298962816596031,0.9840496778488159
21,0.018954524770379066,0.992778480052948,0.045784447342157364,0.9850047826766968
22,0.01982615701854229,0.9926138520240784,0.04891074076294899,0.9848137497901917
23,0.01767602749168873,0.9932724833488464,0.05626702681183815,0.9831423163414001
24,0.02010728232562542,0.9924021363258362,0.05880830064415932,0.9815663695335388
25,0.019785959273576736,0.9925903081893921,0.07446090877056122,0.9785577654838562
