epoch,loss,accuracy,val_loss,val_accuracy
1,0.2833247780799866,0.8840689063072205,0.2192407250404358,0.9160323143005371
2,0.19005297124385834,0.9267866015434265,0.16955099999904633,0.937260627746582
3,0.16079692542552948,0.9391976594924927,0.16065631806850433,0.9425559043884277
4,0.143769308924675,0.9456750154495239,0.12696416676044464,0.9549430012702942
5,0.13141797482967377,0.9512304663658142,0.13533705472946167,0.9525318145751953
6,0.1179085224866867,0.9560057520866394,0.1280408352613449,0.952673614025116
7,0.10718172043561935,0.9611592888832092,0.3587556481361389,0.8945203423500061
8,0.10124684125185013,0.9627904891967773,0.12006622552871704,0.9541865587234497
9,0.09360355138778687,0.9656509160995483,0.11915997415781021,0.9527209401130676
10,0.08816422522068024,0.9676839709281921,0.10287125408649445,0.9625549912452698
11,0.08399242907762527,0.969149649143219,0.12716075778007507,0.9521062970161438
12,0.07912794500589371,0.9712299704551697,0.08957172930240631,0.9673301577568054
13,0.07491294294595718,0.9728139042854309,0.11489222198724747,0.9563614130020142
14,0.07329066097736359,0.972506582736969,0.08635583519935608,0.9705923795700073
15,0.06835083663463593,0.9755088686943054,0.1020592749118805,0.9670464992523193
16,0.0659593865275383,0.9756979942321777,0.08648296445608139,0.9693631529808044
17,0.06475790590047836,0.9772346019744873,0.0804852545261383,0.9705923795700073
18,0.06166212260723114,0.9773054718971252,0.08304149657487869,0.9696940779685974
19,0.06154778599739075,0.9774945974349976,0.0887703076004982,0.9684175848960876
20,0.05744624137878418,0.9791021347045898,0.07594513148069382,0.9728618264198303
21,0.05648322403430939,0.9791021347045898,0.07232050597667694,0.9733818769454956
22,0.05370325967669487,0.9805914759635925,0.07662340998649597,0.9739965200424194
23,0.053663793951272964,0.9798822999000549,0.08814460784196854,0.9695050120353699
24,0.051925770938396454,0.9810879230499268,0.08830849081277847,0.9720107913017273
25,0.05351225286722183,0.9805914759635925,0.08155767619609833,0.9711597561836243
